City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Arraial Do Cabo,BR,-22.97,-42.03,82.4,74,0,25.28,clear sky
111,Chhatarpur,IN,24.9,79.6,58.64,45,0,1.83,clear sky
112,Lazaro Cardenas,MX,17.96,-102.2,85.24,59,0,5.99,clear sky
113,Fortuna,US,40.6,-124.16,50.0,86,94,1.99,overcast clouds
114,Ahipara,NZ,-35.17,173.17,60.94,69,100,10.51,light rain
115,Vao,NC,-22.67,167.48,72.19,66,0,12.12,clear sky
116,Pevek,RU,69.7,170.31,12.9,97,100,3.06,overcast clouds
117,Carnarvon,AU,-24.87,113.63,68.0,82,25,18.34,scattered clouds
118,Zhigansk,RU,66.77,123.37,-6.18,91,87,11.36,overcast clouds
119,Caconda,AO,-13.73,15.07,64.72,90,100,2.86,light rain
120,North Bend,US,43.41,-124.22,42.8,87,20,6.93,few clouds
121,Longyearbyen,SJ,78.22,15.64,24.8,73,75,27.51,light snow
122,Belmonte,BR,-15.86,-38.88,87.8,62,75,6.93,broken clouds
123,Gua Musang,MY,4.88,101.96,72.41,92,99,0.67,overcast clouds
124,Jerome,US,42.72,-114.52,37.99,80,1,13.87,clear sky
125,Abha,SA,18.22,42.51,60.8,87,0,4.59,clear sky
126,Saint-Joseph,RE,-21.37,55.62,75.2,69,0,10.22,clear sky
127,Klaksvik,FO,62.23,-6.59,39.2,100,96,14.76,overcast clouds
128,Sioux Lookout,CA,50.1,-91.92,32.0,94,75,3.36,broken clouds
129,Castro,BR,-24.79,-50.01,75.51,70,83,6.26,broken clouds
130,Coquimbo,CL,-29.95,-71.34,64.4,68,0,14.99,clear sky
131,Lakes Entrance,AU,-37.88,147.98,63.0,97,58,7.72,broken clouds
132,Omsukchan,RU,62.53,155.8,-10.79,87,100,4.07,overcast clouds
133,Tarboro,US,35.9,-77.54,66.2,45,1,8.05,clear sky
134,Pisco,PE,-13.7,-76.22,71.6,73,0,12.75,clear sky
135,Tasiilaq,GL,65.61,-37.64,19.4,44,20,5.82,few clouds
136,Lagoa,PT,39.05,-27.98,56.55,69,57,27.76,broken clouds
137,Phan Thiet,VN,10.93,108.1,74.91,91,100,4.99,light rain
138,Hamilton,US,39.18,-84.53,48.99,61,1,6.93,clear sky
139,Hobart,AU,-42.88,147.33,57.2,71,90,13.87,light rain
140,Saint-Philippe,RE,-21.36,55.77,75.2,69,0,9.91,clear sky
141,Tokmak,UA,47.25,35.71,48.06,75,100,12.64,overcast clouds
142,Kruisfontein,ZA,-34.0,24.73,61.0,94,81,7.43,light rain
143,Tuatapere,NZ,-46.13,167.68,54.0,76,97,13.0,overcast clouds
144,Yellowknife,CA,62.46,-114.35,-8.0,75,20,5.82,few clouds
145,Kieta,PG,-6.22,155.63,79.43,78,38,0.67,scattered clouds
146,Vardo,NO,70.37,31.11,34.09,89,100,29.28,overcast clouds
147,Tevaitoa,PF,-16.78,-151.5,81.32,74,4,5.95,clear sky
148,Ilulissat,GL,69.22,-51.1,8.6,50,20,8.05,few clouds
149,Llandrindod Wells,GB,52.24,-3.38,46.0,98,100,3.98,overcast clouds
150,Norman Wells,CA,65.28,-126.83,-20.2,75,40,3.83,scattered clouds
151,Half Moon Bay,US,37.46,-122.43,59.0,41,1,3.85,clear sky
152,Portland,US,45.52,-122.68,42.8,86,90,1.21,mist
153,Murakami,JP,38.23,139.48,43.32,66,100,11.12,overcast clouds
154,Narsaq,GL,60.92,-46.05,33.8,80,75,12.75,light snow
155,Avarua,CK,-21.21,-159.78,78.8,94,63,11.41,broken clouds
156,Saint-Louis,SN,16.33,-15.0,86.0,33,0,4.83,clear sky
157,San Cristobal,VE,7.77,-72.22,84.2,70,40,11.41,scattered clouds
158,Hede,CN,33.77,120.25,36.27,79,91,4.99,overcast clouds
159,Forlev,DK,55.38,11.28,34.0,100,0,2.24,clear sky
160,Witney,GB,51.78,-1.49,48.2,93,90,6.93,haze
161,Los Llanos De Aridane,ES,28.66,-17.92,68.0,64,20,4.7,few clouds
162,Shelburne,CA,44.08,-80.2,43.0,63,44,17.49,scattered clouds
163,Itoman,JP,26.12,127.67,68.0,60,75,11.41,broken clouds
164,Bongandanga,CD,1.5,21.05,72.23,93,93,2.37,overcast clouds
165,Deputatskiy,RU,69.3,139.9,-7.64,92,100,2.91,overcast clouds
166,Itarema,BR,-2.92,-39.92,83.79,63,70,19.82,broken clouds
167,Provideniya,RU,64.38,-173.3,16.72,90,91,13.98,overcast clouds
168,Hutchinson,US,38.06,-97.93,54.0,37,1,12.75,clear sky
169,Zambezi,ZM,-13.54,23.1,68.05,89,1,2.3,light rain
170,Gitega,BI,-3.5,29.95,63.19,91,100,2.44,moderate rain
171,Coalinga,US,36.14,-120.36,55.99,42,0,5.01,clear sky
172,Bredy,RU,52.42,60.34,8.06,94,4,3.56,clear sky
173,Lompoc,US,34.64,-120.46,64.99,32,1,4.7,clear sky
174,Wexford,IE,52.33,-6.46,50.0,93,90,3.36,overcast clouds
175,Weymouth,US,42.22,-70.94,54.0,57,75,9.17,broken clouds
176,Nelson Bay,AU,-32.72,152.15,78.01,69,100,4.7,heavy intensity rain
177,Kashi,CN,39.45,75.98,26.6,73,0,8.95,clear sky
178,Pyaozerskiy,RU,65.83,31.17,21.92,97,98,7.38,overcast clouds
179,Dingle,PH,11.0,122.67,75.7,91,100,7.38,overcast clouds
180,Zlynka,RU,52.43,31.74,35.6,100,90,8.95,mist
181,Boende,CD,-0.22,20.87,72.03,95,100,0.96,overcast clouds
182,New Norfolk,AU,-42.78,147.06,57.0,72,100,1.01,light rain
183,Kirksville,US,40.19,-92.58,55.0,40,1,14.99,clear sky
184,Hami,CN,42.8,93.45,24.76,78,33,6.6,scattered clouds
185,Bundaberg,AU,-24.85,152.35,69.01,82,0,3.04,clear sky
186,Thompson,CA,55.74,-97.86,15.8,85,90,5.82,light snow
187,Beinamar,TD,8.67,15.38,77.43,28,0,4.32,clear sky
188,Plettenberg Bay,ZA,-34.05,23.37,62.6,83,87,5.26,light rain
189,Srednekolymsk,RU,67.45,153.68,-3.91,92,90,5.03,overcast clouds
190,Mackay,AU,-21.15,149.2,68.0,82,40,5.82,scattered clouds
191,Kamenka,RU,51.32,42.77,35.01,92,100,13.29,overcast clouds
192,Buchanan,LR,5.88,-10.05,80.6,83,75,6.93,broken clouds
193,High Level,CA,58.52,-117.14,3.2,84,5,8.05,smoke
194,Beloha,MG,-25.17,45.05,72.99,83,49,11.86,scattered clouds
195,Hithadhoo,MV,-0.6,73.08,81.79,74,79,8.43,broken clouds
196,Lavrentiya,RU,65.58,-171.0,19.11,93,90,21.61,overcast clouds
197,Vila Velha,BR,-20.33,-40.29,80.6,74,75,10.29,broken clouds
198,Alofi,NU,-19.06,-169.92,77.0,94,100,5.82,light rain
199,Cayenne,GF,4.93,-52.33,82.4,83,75,1.12,light rain
200,Chandler,US,33.31,-111.84,66.99,27,1,10.29,clear sky
201,Khyriv,UA,49.53,22.85,32.0,98,100,5.68,light snow
202,Pajapan,MX,18.25,-94.7,84.2,70,40,6.93,scattered clouds
203,Qaqortoq,GL,60.72,-46.03,33.8,80,75,12.75,light snow
204,Airai,TL,-8.93,125.41,62.53,100,100,0.98,overcast clouds
205,Severo-Kurilsk,RU,50.68,156.12,25.56,91,100,4.94,overcast clouds
206,Rubidoux,US,34.0,-117.41,68.0,15,1,5.82,clear sky
207,Richards Bay,ZA,-28.78,32.04,78.55,70,100,14.67,overcast clouds
208,Comodoro Rivadavia,AR,-45.87,-67.5,62.6,27,20,19.46,few clouds
209,Solnechnyy,RU,50.72,136.63,8.69,93,100,1.21,overcast clouds
210,Nelidovo,RU,56.22,32.78,32.09,96,97,6.33,overcast clouds
211,Chenzhou,CN,25.8,113.03,43.07,82,100,4.23,overcast clouds
212,Graneros,CL,-34.07,-70.73,82.4,32,0,5.77,clear sky
213,Howard Springs,AU,-12.5,131.05,77.0,78,100,5.82,overcast clouds
214,Malindi,KE,-3.22,40.12,80.6,83,75,8.55,broken clouds
215,Huejuquilla El Alto,MX,22.6,-103.87,78.96,26,0,9.15,clear sky
216,Angoche,MZ,-16.23,39.91,79.47,85,16,7.47,few clouds
217,Guerrero Negro,MX,27.98,-114.06,68.97,26,0,3.44,clear sky
218,Casma,CL,-41.01,-73.12,53.6,100,90,5.82,moderate rain
219,Marawi,PH,8.0,124.29,75.0,93,97,5.99,overcast clouds
220,Billings,US,45.78,-108.5,46.99,22,75,16.11,broken clouds
221,Payo,ID,-3.75,103.64,72.05,95,100,1.97,overcast clouds
222,Troyes,FR,48.33,4.08,42.8,75,0,3.36,clear sky
223,Barrow,US,71.29,-156.79,8.6,78,90,9.17,overcast clouds
224,Russell,US,32.35,-85.2,64.99,68,20,8.05,few clouds
225,Hovd,MN,48.01,91.64,9.95,93,14,0.76,few clouds
226,Yershov,RU,51.35,48.28,30.78,97,100,9.13,overcast clouds
227,Cidreira,BR,-30.18,-50.21,74.88,84,100,19.48,overcast clouds
228,Manadhoo,MV,5.77,73.38,82.62,63,68,4.45,broken clouds
229,San Patricio,US,28.02,-97.52,69.8,94,90,17.22,light rain
230,Kenai,US,60.55,-151.26,32.0,80,1,19.46,clear sky
231,Kavieng,PG,-2.57,150.8,82.78,80,99,11.95,overcast clouds
232,Mahebourg,MU,-20.41,57.7,75.2,73,40,6.93,scattered clouds
233,Victoria,HK,22.29,114.16,66.99,69,0,1.01,clear sky
234,Tocopilla,CL,-22.09,-70.2,72.18,39,19,6.64,few clouds
235,Santa Rosa,PH,14.31,121.11,78.8,88,40,5.82,light rain
236,Karambakkudi,IN,10.47,79.13,78.8,88,75,5.82,mist
237,Chiplun,IN,17.53,73.52,72.07,75,17,3.04,few clouds
238,Oltu,TR,40.55,42.0,33.46,76,0,3.27,clear sky
239,Kaeo,NZ,-35.1,173.78,52.0,94,100,1.99,light rain
240,Zhengjiatun,CN,43.51,123.51,8.38,92,100,5.14,overcast clouds
241,Hofn,IS,64.25,-15.21,38.97,74,100,14.2,overcast clouds
242,Itaituba,BR,-4.28,-55.98,91.4,59,40,10.29,shower rain
243,Okhotsk,RU,59.38,143.3,5.4,87,80,13.33,broken clouds
244,Lakeside,US,30.13,-81.77,78.01,69,75,5.82,broken clouds
245,Redmond,US,47.67,-122.12,46.99,96,92,1.81,overcast clouds
246,Coihaique,CL,-45.58,-72.07,51.8,54,75,8.05,light intensity shower rain
247,Dezhou,CN,37.45,116.29,30.04,80,96,5.19,overcast clouds
248,Cururupu,BR,-1.83,-44.87,86.27,61,99,7.18,overcast clouds
249,Manta,EC,-0.95,-80.73,78.8,69,20,8.05,few clouds
250,Monrovia,LR,6.3,-10.8,80.6,83,75,6.93,broken clouds
251,Xai-Xai,MZ,-25.05,33.64,75.18,80,4,10.09,clear sky
252,Dhidhdhoo,MV,6.88,73.1,82.67,66,69,4.63,broken clouds
253,Serenje,ZM,-13.23,30.24,68.7,60,37,5.21,scattered clouds
254,Talavera De La Reina,ES,39.96,-4.83,50.38,80,100,0.89,overcast clouds
255,Komsomolskiy,UZ,40.43,71.72,33.8,86,7,2.24,mist
256,Hokitika,NZ,-42.72,170.97,53.78,82,28,1.92,scattered clouds
257,Dombarovskiy,RU,50.76,59.54,10.92,94,6,1.43,clear sky
258,Cravo Norte,CO,6.3,-70.2,80.33,83,100,9.46,moderate rain
259,Esperance,AU,-33.87,121.9,50.0,81,52,6.93,broken clouds
260,Berezovyy,RU,51.67,135.7,7.93,92,100,2.01,overcast clouds
261,Penzance,GB,50.12,-5.54,51.8,100,72,18.34,broken clouds
262,Hasaki,JP,35.73,140.83,42.8,70,75,3.36,broken clouds
263,Tilichiki,RU,60.47,166.1,2.46,91,31,11.86,scattered clouds
264,Mazara Del Vallo,IT,37.66,12.59,62.6,88,40,12.75,scattered clouds
265,Sao Sebastiao,BR,-23.76,-45.41,80.02,71,44,4.56,scattered clouds
266,Galle,LK,6.04,80.22,77.29,83,100,3.42,overcast clouds
267,Sayyan,YE,15.17,44.32,53.53,59,5,2.64,clear sky
268,Tessalit,ML,20.2,1.01,68.27,25,95,5.91,overcast clouds
269,Havre-Saint-Pierre,CA,50.23,-63.6,30.2,100,90,4.7,overcast clouds
270,Palma Di Montechiaro,IT,37.19,13.77,62.6,88,90,14.99,light rain
271,Ambon,ID,-3.7,128.18,82.0,89,99,5.23,overcast clouds
272,Mahajanga,MG,-15.72,46.32,84.2,74,20,10.29,few clouds
273,Alice Springs,AU,-23.7,133.88,91.4,26,70,14.99,broken clouds
274,Avera,US,33.19,-82.53,62.6,57,90,4.12,overcast clouds
275,Port Lincoln,AU,-34.73,135.87,56.8,71,29,12.03,scattered clouds
276,Sitka,US,57.05,-135.33,39.2,86,90,29.97,moderate rain
277,Bengkulu,ID,-3.8,102.27,73.38,89,99,3.89,overcast clouds
278,Riyadh,SA,24.69,46.72,66.2,72,40,5.82,scattered clouds
279,Camacari,BR,-12.7,-38.32,84.2,62,40,13.87,scattered clouds
280,Christchurch,NZ,-43.53,172.63,55.99,81,3,8.05,clear sky
281,Nouadhibou,MR,20.93,-17.03,69.8,68,100,12.75,overcast clouds
282,Valdivia,CL,-39.81,-73.25,57.2,100,90,5.82,moderate rain
283,Manokwari,ID,-0.87,134.08,79.99,81,97,2.28,overcast clouds
284,Tautira,PF,-17.73,-149.15,84.2,74,75,4.7,broken clouds
285,Matara,LK,5.95,80.54,76.55,85,100,2.91,overcast clouds
286,Iberia,US,29.95,-91.75,68.0,93,75,9.17,light rain
287,Shingu,JP,33.73,135.98,43.47,76,0,6.17,clear sky
288,Jardim,BR,-21.48,-56.14,97.63,31,62,2.91,broken clouds
289,Callaway,US,30.15,-85.57,73.0,77,90,6.93,overcast clouds
290,Sambava,MG,-14.27,50.17,75.45,80,0,6.76,clear sky
291,Uvinza,TZ,-5.1,30.39,67.89,88,83,2.62,light rain
292,Andros Town,BS,24.7,-77.77,78.8,65,40,6.93,scattered clouds
293,Lichinga,MZ,-13.31,35.24,69.04,58,4,6.26,clear sky
294,Alto Araguaia,BR,-17.31,-53.22,88.72,39,51,8.12,broken clouds
295,San Quintin,MX,30.48,-115.95,66.99,27,0,5.23,clear sky
