City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
234,Tocopilla,CL,72.18,few clouds,-22.09,-70.2,Hotel Galvarino
235,Santa Rosa,PH,78.8,light rain,14.31,121.11,Erlyn’s Sta Rosa City Home
236,Karambakkudi,IN,78.8,mist,10.47,79.13,பட்டமாவிடுதி
237,Chiplun,IN,72.07,few clouds,17.53,73.52,Hotel Reemz
244,Lakeside,US,78.01,broken clouds,30.13,-81.77,Whitey's Fish Camp
248,Cururupu,BR,86.27,overcast clouds,-1.83,-44.87,Pousada Través'cia
249,Manta,EC,78.8,few clouds,-0.95,-80.73,Balandra Hotel
250,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
251,Xai-Xai,MZ,75.18,clear sky,-25.05,33.64,Platinum Hotel
252,Dhidhdhoo,MV,82.67,broken clouds,6.88,73.1,Dhidhoo beach
258,Cravo Norte,CO,80.33,moderate rain,6.3,-70.2,Hotel El Puerto
265,Sao Sebastiao,BR,80.02,scattered clouds,-23.76,-45.41,Hotel Recanto dos Pássaros
266,Galle,LK,77.29,overcast clouds,6.04,80.22,Amangalla
271,Ambon,ID,82.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
272,Mahajanga,MG,84.2,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
277,Bengkulu,ID,73.38,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
279,Camacari,BR,84.2,scattered clouds,-12.7,-38.32,Sítio Blasi
283,Manokwari,ID,79.99,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
284,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
285,Matara,LK,76.55,overcast clouds,5.95,80.54,Amaloh Boutique Resort
289,Callaway,US,73.0,overcast clouds,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
290,Sambava,MG,75.45,clear sky,-14.27,50.17,Melrose
292,Andros Town,BS,78.8,scattered clouds,24.7,-77.77,Hanks place
294,Alto Araguaia,BR,88.72,broken clouds,-17.31,-53.22,Araguaia Palace Hotel
298,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
299,Yenagoa,NG,76.96,clear sky,4.92,6.26,Amba Hotels Limited
300,Anloga,GH,82.4,few clouds,5.79,0.9,Pin Drop Hotel
301,Kalabo,ZM,72.0,few clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
303,Broken Hill,AU,71.6,few clouds,-31.95,141.43,Daydream Motel & Cottages
304,Meulaboh,ID,75.25,moderate rain,4.14,96.13,Kost Pria
307,Waingapu,ID,80.91,light rain,-9.66,120.26,Pondok Wisata Elim
311,Poum,NC,75.33,clear sky,-20.23,164.02,Gîte kajeon
312,Hostotipaquillo,MX,81.0,scattered clouds,21.07,-104.07,Hostal DE MINGO
318,El Tigre,VE,86.86,scattered clouds,8.89,-64.25,Hotel Santa Cruz
321,Katobu,ID,76.91,light rain,-4.94,122.53,La Ode Husein
325,Padang,ID,77.07,moderate rain,-0.95,100.35,Mercure Padang
326,Klaeng,TH,77.0,overcast clouds,12.78,101.65,Damrongcheep in Resort
327,Canto Do Buriti,BR,88.39,overcast clouds,-8.11,-42.94,Novo Hotel
337,Riacho De Santana,BR,80.24,overcast clouds,-13.61,-42.94,Apartamento de Kaio.
345,Bilma,NE,72.01,clear sky,18.69,12.92,Expeditions Ténére voyages
351,Buta,CD,73.89,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
353,Sur,OM,73.2,clear sky,22.57,59.53,Sur Plaza Hotel
354,Atambua,ID,76.17,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
355,Bairiki,KI,80.6,shower rain,1.33,172.98,Tarawa Boutique Hotel
358,Ewa Beach,US,75.2,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
360,Isangel,VU,73.92,few clouds,-19.55,169.27,Volcano Sea View Tree House
361,Embu,BR,84.2,clear sky,-23.65,-46.85,Hotel Rancho Silvestre
366,Pemangkat,ID,78.01,overcast clouds,1.17,108.97,Kost H.Syamsuddin
376,Savelugu,GH,83.93,scattered clouds,9.62,-0.83,Yoo Naa's Palace
378,Cabo San Lucas,MX,77.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
379,Nuevo Progreso,MX,84.0,scattered clouds,23.17,-97.95,Balneario Rio el Paraiso
384,Ambanja,MG,77.02,light rain,-13.68,48.45,Hotel Marrakech
388,Ahuimanu,US,78.8,few clouds,21.44,-157.84,Paradise Bay Resort
390,Beira,MZ,80.6,scattered clouds,-19.84,34.84,Beira Terrace Hotel
392,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
